# {"t_start": 1596459736.7439277, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
35.663355,4,4.819808
35.578285,4,4.825792
45.527607,5,4.833807
44.931176,5,4.840786
45.02206,5,4.847767
63.637513,7,4.858737
54.394431,6,4.866715
54.269903,6,4.875699
35.966806,4,4.881644
63.55049,7,4.891617
36.122178,4,4.897601
45.133278,5,4.905614
64.227777,7,4.915553
36.000123,4,4.921538
63.272536,7,4.931546
54.058153,6,4.941516
44.904999,5,4.948498
72.964177,8,4.959436
35.686601,4,4.965454
35.443004,4,4.9724
73.420023,8,4.985401
82.190179,9,4.998366
35.921283,4,5.004316
44.883884,5,5.011331
54.555849,6,5.020307
36.035922,4,5.026289
35.446574,4,5.032274
45.535584,5,5.040252
26.802251,3,5.044241
35.899133,4,5.050194
82.46308,9,5.063192
35.891993,4,5.069175
45.245487,5,5.077153
73.35164,8,5.088093
54.568917,6,5.097102
54.632984,6,5.106076
44.976097,5,5.113061
35.943173,4,5.119041
45.105859,5,5.12702
44.956828,5,5.134003
45.193898,5,5.141974
54.371769,6,5.149927
63.360198,7,5.160903
54.563477,6,5.169878
72.473547,8,5.181881
110.205009,12,5.198834
64.231942,7,5.208775
63.67527,7,5.218782
35.238758,4,5.225761
54.606211,6,5.23474
54.655929,6,5.243714
100.928899,11,5.258641
73.166791,8,5.269611
45.374918,5,5.27759
82.505515,9,5.29059
63.999792,7,5.300562
54.196425,6,5.309505
72.959187,8,5.320475
54.784343,6,5.329485
45.153369,5,5.336433
35.421283,4,5.343449
44.822085,5,5.350429
63.951119,7,5.3614
35.602925,4,5.367384
63.763358,7,5.377357
63.872652,7,5.386299
54.025166,6,5.396306
54.84897,6,5.405252
45.445018,5,5.412262
82.136264,9,5.426193
63.720004,7,5.438162
36.120953,4,5.444144
45.023921,5,5.452157
54.740343,6,5.461134
44.779639,5,5.468115
73.19931,8,5.479087
26.932539,3,5.484071
54.314572,6,5.493015
35.513141,4,5.499031
36.074846,4,5.504984
54.657301,6,5.513993
54.273904,6,5.522967
54.168718,6,5.531944
54.35081,6,5.54092
44.665784,5,5.547867
54.238342,6,5.557874
54.221445,6,5.566323
73.105727,8,5.57829
63.751765,7,5.588297
54.40887,6,5.597274
35.812356,4,5.602236
35.728585,4,5.60924
36.078018,4,5.615224
63.807962,7,5.626195
63.794648,7,5.635176
54.116292,6,5.644114
54.284177,6,5.653124
63.503628,7,5.663354
45.315978,5,5.670336
44.530754,5,5.678313
54.411426,6,5.687325
35.87844,4,5.693307
54.029785,6,5.701285
36.174749,4,5.708275
44.885073,5,5.715251
35.501189,4,5.721201
26.899151,3,5.726222
63.621094,7,5.736195
34.879004,4,5.742144
82.599645,9,5.755144
45.279094,5,5.763268
44.90736,5,5.77025
44.948878,5,5.778228
35.816213,4,5.784211
54.578839,6,5.793187
45.498947,5,5.800169
63.657958,7,5.81114
45.188588,5,5.818122
63.968571,7,5.828098
44.941837,5,5.835077
35.745745,4,5.842059
54.824431,6,5.850004
63.503278,7,5.859976
