# {"t_start": 1596457697.7324684, "env_id": "Ant-v2"} 
r,l,t
-599.655633,205,65.581535
-126.73011,36,65.65238
-116.882611,33,65.715177
-196.134226,77,65.871759
-134.222315,37,65.948557
-3252.320485,1000,68.035428
-89.60774,21,68.081271
-102.510701,27,68.13217
-3193.57735,1000,70.281832
-51.393089,18,70.319263
-136.042239,51,70.435917
-76.730162,17,70.472851
-43.872529,19,70.510752
-249.466866,67,70.650376
-197.664881,58,70.769063
-418.267241,135,71.166606
-318.414429,99,71.405184
-54.723285,21,71.445539
-57.565747,17,71.479445
-169.440796,50,71.584733
-64.890613,30,71.639588
-194.573396,48,71.728386
-96.5007,44,71.81062
-144.959094,52,71.90973
-113.989238,32,71.969486
-31.000402,9,71.986439
-63.534374,18,72.019808
-306.828552,98,72.207692
-47.184503,14,72.235615
-485.23644,159,72.534744
-47.326187,16,72.568776
-118.514851,39,72.642611
-445.710419,161,72.985664
-274.186142,65,73.133782
-225.815255,73,73.285886
-192.257982,51,73.39098
-80.147086,33,73.452731
-76.381114,23,73.493135
-31.133295,12,73.517503
-156.725664,36,73.589176
-117.780678,46,73.685916
-45.158476,14,73.716892
-3156.082614,1000,75.788395
-61.377472,20,75.833274
-26.399071,10,75.852226
-3393.845504,1000,77.815621
-110.390083,23,77.863493
-24.766566,10,77.883439
-197.062607,60,77.994145
-266.283096,89,78.165685
-104.118986,31,78.226523
-155.30084,47,78.346169
-51.146419,16,78.381108
-71.06145,24,78.425988
-218.403108,49,78.516746
-23.423377,8,78.531709
-72.86143,27,78.589541
-245.832613,60,78.704248
-88.699421,28,78.756149
-151.019896,43,78.840462
-87.680679,39,78.913267
-295.879166,81,79.065829
-27.535601,12,79.092787
-3282.987648,1000,81.128742
-3194.928256,1000,83.082164
-369.324856,121,83.307614
-107.431731,23,83.351966
-61.510461,20,83.388035
-3204.826773,1000,85.405795
-91.310935,28,85.461036
-88.887481,33,85.528447
-69.991159,37,85.608335
-110.454151,39,85.689183
-122.518109,42,85.786186
-50.43096,13,85.820066
-189.380761,41,85.922822
-135.920942,63,86.054461
-3217.107035,1000,88.154892
-40.579741,19,88.1898
-56.175825,23,88.233649
-143.523524,53,88.339399
-35.617735,10,88.360342
-133.42595,40,88.434149
-160.793175,51,88.52914
-3351.770265,1000,90.656905
-128.123954,39,90.73769
-57.37604,18,90.774559
-368.21391,113,91.001951
-79.010361,28,91.059821
-37.788164,11,91.082766
-99.058289,30,91.143637
-84.777722,26,91.197596
-66.719194,20,91.238324
-129.828803,31,91.297106
-84.152948,27,91.358816
-107.082161,45,91.444968
-36.12178,12,91.463984
-93.179937,26,91.514697
-54.968994,13,91.540091
-368.029263,124,91.77351
-71.05077,18,91.808417
-65.427993,25,91.861818
-145.952592,54,92.096888
-92.573731,26,92.14672
-3170.087986,1000,94.118241
-3000.792188,1000,96.157065
-140.694622,48,96.247823
-89.755973,28,96.300712
-176.935499,64,96.426379
-113.24347,42,96.503174
-119.644182,30,96.561019
-172.365076,48,96.651775
-36.610449,14,96.678705
-475.058512,167,96.985787
-69.498747,19,97.019832
-91.449374,33,97.086452
-587.679492,197,97.461148
-111.976644,27,97.514605
-62.063019,16,97.548964
-116.053481,31,97.610246
-69.642323,11,97.631221
-536.81554,170,97.955327
-59.456098,15,97.983253
-42.306192,12,98.005193
-120.73958,42,98.085977
-85.77901,19,98.121883
-95.74134,37,98.191694
-3008.502469,1000,100.239791
-133.766589,34,100.316581
-51.519289,21,100.358468
-102.386343,45,100.453184
-164.857137,54,100.581874
-527.313054,166,100.937886
-167.321543,51,101.041055
-71.966979,25,101.09395
-242.245828,70,101.2241
-126.739424,38,101.299246
-45.282223,22,101.342976
-104.760126,36,101.41294
-80.146602,27,101.465756
-138.996295,41,101.543005
-114.26607,30,101.604833
-60.795964,14,101.634752
-79.74045,33,101.702571
-43.016978,22,101.748428
-148.119427,45,101.849156
-295.32371,86,102.016706
-122.757346,50,102.114445
-48.356641,16,102.144399
-45.44383,19,102.180268
-167.880277,57,102.293004
-40.944373,11,102.318929
-132.036218,42,102.399752
-125.524054,55,102.501481
-660.356577,220,102.925349
-113.892273,42,103.003139
-57.09676,18,103.03705
-15.94985,8,103.053007
-56.462957,27,103.106862
-50.960006,16,103.13778
-63.746482,24,103.182541
-109.831393,32,103.241322
-273.579979,84,103.404186
-129.55338,39,103.475917
-147.785241,49,103.57005
-123.741567,43,103.651829
-127.219256,36,103.718409
-222.931515,70,103.857068
-110.918488,30,103.913687
-386.521544,120,104.236243
-72.213099,20,104.277561
-200.174262,56,104.543731
-299.983019,101,104.737654
-176.727036,39,104.822323
-3035.229211,1000,106.824682
-186.165174,47,106.923418
-462.470877,135,107.202399
-2926.074768,1000,109.245729
-489.557311,163,109.547887
-262.335229,79,109.695567
-268.223067,74,109.838189
-66.253388,20,109.87808
-56.537271,20,109.914983
-82.256397,31,109.971828
-190.738448,50,110.065577
-2923.043589,1000,111.945662
-406.109742,113,112.157135
-176.087435,54,112.25587
-188.051574,68,112.384493
-250.215511,60,112.493959
-112.243057,33,112.692669
-89.081241,32,112.757457
-88.263432,24,112.807324
-42.63442,14,112.839242
