# {"t_start": 1596454802.745585, "env_id": "Walker2d-v2"} 
r,l,t
-2.290641,9,6.818707
0.046372,10,6.83433
-2.068107,14,6.865571
-4.966271,14,6.881193
-3.25308,7,6.881193
4.780799,15,6.912436
6.589109,23,6.943678
-2.963355,10,6.959301
-1.96863,10,6.978716
30.659344,51,7.043375
2.076473,15,7.058997
-3.378193,13,7.09024
2.483713,17,7.105862
-4.818009,16,7.137104
-4.570352,12,7.152726
-0.544013,14,7.168347
-0.363219,9,7.183969
-0.244858,15,7.199589
-1.441595,8,7.215211
-1.368046,8,7.230833
1.388302,12,7.246454
-1.937423,15,7.262075
-3.197186,9,7.277697
2.846548,13,7.293318
-5.482832,13,7.308939
-1.146478,9,7.32456
-1.61446,12,7.340181
5.01377,15,7.371424
-4.569201,10,7.371424
1.773282,15,7.402667
-1.809817,9,7.418289
0.463867,18,7.43391
0.432494,12,7.449532
-10.063773,13,7.480773
-6.282142,9,7.480773
5.995958,18,7.512016
-2.434649,10,7.527638
-3.371961,9,7.543259
-1.194601,21,7.576875
-4.773044,19,7.6048
2.376302,18,7.63073
-5.552545,16,7.653669
2.316348,25,7.690571
-7.485765,10,7.70553
-0.553517,11,7.72049
2.789007,13,7.739439
-1.618663,8,7.751408
-1.515584,21,7.781327
3.413266,16,7.805264
8.04805,18,7.831195
-1.989012,13,7.850144
0.248605,18,7.869212
0.194434,10,7.884835
5.079473,14,7.900456
3.40456,21,7.931698
-2.182889,14,7.94732
-0.138435,14,7.978562
-0.026748,11,7.994184
3.594453,19,8.009805
0.638029,9,8.025426
-0.637494,13,8.041048
-0.165837,27,8.087912
0.228994,13,8.103533
0.200932,14,8.119154
-1.771803,11,8.134776
-4.033511,7,8.150398
-3.794434,12,8.166018
-1.692092,17,8.197261
-3.094619,14,8.212883
-0.235405,10,8.228504
-3.731531,11,8.244126
-0.071554,17,8.259747
-3.282682,11,8.275368
-7.442333,11,8.290989
-0.523614,11,8.306611
-1.388753,8,8.322232
-3.249967,10,8.337854
