# {"t_start": 1596453386.6760395, "env_id": "Hopper-v2"} 
r,l,t
209.449944,117,49.202411
202.36397,110,49.358625
219.500111,124,49.53046
186.493048,107,49.68309
9.898146,13,49.702039
196.739898,115,49.854424
217.121536,121,50.02626
208.251703,115,50.182473
184.400849,99,50.307444
258.047914,176,50.557385
191.138848,106,50.697977
158.291069,90,50.822948
187.837904,99,50.947918
211.741858,114,51.104131
166.171959,88,51.229103
252.216742,162,51.447802
197.684746,106,51.588394
204.855135,129,51.882039
219.811553,128,52.055716
219.951924,122,52.211929
175.558711,97,52.352522
170.105193,95,52.477493
225.635798,130,52.662923
204.126675,109,52.815515
189.511636,109,52.966113
207.957096,115,53.113156
202.184302,110,53.26937
183.363434,98,53.39434
222.402157,142,53.597418
210.794353,112,53.758403
212.950296,132,53.939918
196.521611,109,54.089605
171.170088,100,54.214576
185.534614,106,54.37079
255.677944,156,54.573866
200.469174,103,54.831246
179.180265,102,54.973865
208.884056,111,55.123895
191.348552,105,55.264486
204.297003,112,55.4207
194.11293,105,55.561293
195.002119,103,55.707597
207.18649,110,55.862184
196.275142,105,55.997264
178.833697,100,56.137856
202.386822,99,56.278448
199.229985,102,56.41904
168.846712,94,56.544011
219.308011,119,56.71239
175.506372,98,56.83918
196.158492,107,56.995396
189.959868,104,57.135987
219.387956,112,57.292202
220.921507,119,57.448414
218.870663,112,57.710219
203.44295,109,57.866832
208.686354,111,58.013857
190.220498,97,58.138828
183.28787,96,58.279387
191.995575,103,58.41998
188.793662,100,58.560604
210.591388,112,58.719949
194.144828,102,58.863532
209.774769,112,59.016649
206.802182,111,59.157243
201.197226,109,59.313423
202.080261,105,59.454013
203.261772,110,59.610264
210.06701,121,59.783537
198.425114,100,59.922167
207.449891,113,60.066274
194.841972,96,60.206866
237.658981,125,60.3787
200.220031,104,60.612988
224.340398,117,60.792239
222.324595,122,60.948919
193.178454,98,61.089514
198.715146,103,61.230105
229.170105,119,61.386319
261.266971,130,61.573775
211.225517,108,61.728418
230.462382,131,61.908936
205.514379,109,62.045665
200.114728,102,62.186258
196.031988,109,62.342471
212.421601,112,62.498684
200.519765,103,62.641662
198.089776,110,62.798244
204.411451,105,62.943855
210.454101,114,63.090903
217.720889,109,63.247117
233.240614,114,63.403331
229.084923,123,63.677484
258.927384,137,63.870451
231.836977,116,64.026664
198.90538,106,64.167257
215.571533,107,64.323456
217.593567,111,64.464063
196.631597,101,64.604621
272.512688,136,64.807814
225.200211,118,64.96685
226.992704,117,65.123062
227.275472,112,65.279279
219.044711,106,65.419868
263.018149,130,65.607326
203.60936,106,65.760621
292.592528,131,65.938254
205.269983,107,66.078879
